word,pos
poisons,NOUN
entering,VERB
clambered,VERB
Lisa,NOUN
shining,NOUN
snoozed,VERB
quickly,ADV
stunned,ADJ
walled,ADJ
pinned,VERB
whimpering,VERB
firm,NOUN
classrooms,NOUN
heard,NOUN
new,ADJ
rows,NOUN
twisted,VERB
OTHER,NOUN
tinned,VERB
like,ADP
pack,NOUN
Wonder,NOUN
Warlocks,NOUN
confused,ADJ
Be,NOUN
turban,NOUN
how,ADV
advice,NOUN
crowded,VERB
ten,NOUN
spell,NOUN
evening,ADJ
suspected,VERB
signature,NOUN
nephew,NOUN
pop,VERB
four-poster,NOUN
Quentin,NOUN
Goshawk,NOUN
African,ADJ
tree,ADJ
Good-bye,ADJ
get,VERB
ambition,NOUN
pocuss,NOUN
forever,ADV
straying,VERB
unused,ADJ
tantrum,NOUN
suspension,NOUN
wildly,ADV
any,DET
hundred,ADJ
stiff,ADJ
dreams,NOUN
glittery-black,ADJ
stra,NOUN
Gran,NOUN
Countercurses,NOUN
owls,VERB
learn,VERB
stupid,ADJ
Thousands,NOUN
hoped,VERB
laughter,NOUN
driveway,NOUN
piped,VERB
Guess,NOUN
foolish,ADJ
force,NOUN
shimmering,VERB
Enough,NOUN
OUCH,NOUN
senses,NOUN
affect,VERB
jump,NOUN
squinting,VERB
Breeding,NOUN
staffroom,NOUN
H.,NOUN
bobbing,NOUN
Finch-Fletchley,NOUN
abnormal,ADJ
repair,VERB
ride,NOUN
inside,ADV
harness,NOUN
Losing,VERB
upset,NOUN
object,NOUN
makin,NOUN
lamp,ADJ
ashen-faced,ADJ
start-of-term,ADJ
c-ca,ADJ
share,NOUN
drop,NOUN
used,VERB
Fear,NOUN
saints,NOUN
flick,ADJ
outside,ADJ
pellets,NOUN
beware,NOUN
chicken,ADJ
lit,ADJ
Forest,NOUN
surged,VERB
red,VERB
gasp,NOUN
powdered,ADJ
freedom,NOUN
slender,ADJ
impatiently,ADV
felt,VERB
hated,ADJ
fat,NOUN
Within,ADP
Slytherins,VERB
imagined,VERB
Flint,NOUN
suspended,VERB
helplessly,ADV
stepped,VERB
blinked,VERB
belonging,VERB
goodness,NOUN
hundreds,NOUN
move,VERB
chipped,VERB
straight,NOUN
myseff,ADJ
breezy,ADJ
nosie,NOUN
photos,NOUN
Forget,NOUN
Stupid,NOUN
spun,VERB
spreading,VERB
OUT,ADV
skin,NOUN
George,NOUN
saying,VERB
bottle,VERB
sweaty,NOUN
Self-Protection,NOUN
rifle,NOUN
mouth,ADJ
boys,ADV
farther,NOUN
speaking,NOUN
side,NOUN
raisins,NOUN
low-hanging,ADJ
Heaps,NOUN
swift,NOUN
mumbled,VERB
Mortis,NOUN
anxiously,ADV
good-bye,NOUN
beat,NOUN
bad,ADJ
fuller,NOUN
presenting,VERB
happen,VERB
mugs,NOUN
curtains,NOUN
local,ADJ
PAYING,NOUN
nicer,NOUN
hang,VERB
chipolatas,NOUN
yelp,NOUN
stick,NOUN
reeled,VERB
Dear,VERB
Everybody,NOUN
overhead,VERB
exchange,VERB
lamb,ADJ
smiling,VERB
leaned,VERB
Katie,NOUN
maze,NOUN
pink,VERB
victory,NOUN
limped,VERB
Certainly,NOUN
pocketed,VERB
subject,NOUN
slapping,VERB
Hullo,NOUN
marmalade,NOUN
sister,NOUN
slay,VERB
wrinkled,VERB
pale,ADJ
award,VERB
twin,ADJ
arrivals,NOUN
course,NOUN
fluffy,ADJ
fed,VERB
wonder,VERB
grinning,VERB
hit,VERB
sport,NOUN
hate,VERB
blinking,VERB
muttering,NOUN
lining,VERB
creeping,VERB
quicker,ADV
awkwardly,ADV
Call,NOUN
idea,NOUN
treble,ADJ
teaching,VERB
lucky,ADJ
tasty,ADJ
Inferno,NOUN
Griphook,NOUN
wearing,VERB
shout,VERB
glimmered,VERB
easier,ADJ
ticket,NOUN
future,NOUN
wrapped,VERB
visiting,VERB
hanging,NOUN
Crockford,NOUN
please,VERB
fallen,VERB
threshold,NOUN
owl,ADJ
selfstirring,VERB
Baruffio,NOUN
mum,VERB
jammed,VERB
pair,NOUN
sleeping,NOUN
bright,ADJ
sacrifices,NOUN
squid,NOUN
faint,VERB
lion,NOUN
boil,NOUN
creak,NOUN
interesting,VERB
him,PRON
breathing,VERB
telescopes,NOUN
flitted,VERB
mid-,ADJ
Gordon,NOUN
half,ADV
Harry,NOUN
cold,ADJ
Charms,NOUN
Smarmy,NOUN
Everyone,NUM
plants,NOUN
grass,NOUN
warm,ADJ
drinks,NOUN
banquet,NOUN
Diagon,NOUN
caution,NOUN
dared,VERB
car,NOUN
frightened,VERB
frog,NOUN
My,PRON
daisies,NOUN
dearest,ADJ
wee,VERB
day,NOUN
Potters,NOUN
melted,VERB
reaching,VERB
Ages,NOUN
382,NUM
Barn,NOUN
produces,VERB
askin,NOUN
bite,VERB
safe,NOUN
somethin,ADJ
bossy,ADJ
bin,ADJ
boastful,ADJ
turn,VERB
fast,ADJ
Professor,NOUN
wizard,NOUN
took,VERB
heads,NOUN
spending,VERB
didnt,NOUN
Blasted,ADJ
Hagrid.,NOUN
closer,ADV
librarian,ADJ
Tufty,NOUN
She,PRON
skidding,VERB
uproar,NOUN
Mainly,ADV
corner,NOUN
fixed,ADJ
Always,ADP
keep,VERB
spinning,VERB
blink,VERB
knowin,VERB
sports,NOUN
messin,NOUN
nothin,ADP
AAAARGH,NOUN
Were,NOUN
clenched,VERB
anything,NOUN
fist,NOUN
jerk,VERB
receive,VERB
either,DET
advised,VERB
-well,NOUN
beasts,NOUN
threequarters,NOUN
parties,NOUN
fight,NOUN
?,.
bills,NOUN
underneath,ADJ
fifty-two,ADJ
bursting,VERB
ones,NOUN
Elfric,NOUN
mysteriously,ADV
fires,NOUN
Aaah,NOUN
horse,NOUN
poking,VERB
Hey,NOUN
whistling,NOUN
balancing,VERB
delighted,ADJ
blocking,VERB
Stay,NOUN
breath,NOUN
jerking,NOUN
accountant,ADJ
Just,VERB
Sorc.,NOUN
lotta,ADJ
dungeon,NOUN
icicles,NOUN
thought,NOUN
serpent,NOUN
AT,NOUN
hard,ADJ
bidin,NOUN
thirty,NOUN
take,NOUN
sacked,VERB
knuckle,NOUN
flight,NOUN
stumbled,VERB
slouched,VERB
de,X
Breathing,VERB
awkward,ADV
probably,ADV
help,NOUN
memory,NOUN
understood,VERB
Scabbers,NOUN
tape,NOUN
wizarding,NOUN
suppose,VERB
stopping,VERB
transfixed,ADJ
numbly,ADV
know,VERB
lied,VERB
TREE,VERB
criticizing,VERB
compartment,NOUN
mud,NOUN
irritably,ADV
Body-Bind,NOUN
meddle,VERB
rummaged,VERB
rush,NOUN
beautiful,VERB
begun,VERB
:,.
glory,NOUN
bird-watchers,NOUN
unluckily,ADV
Howard,NOUN
splendid,ADJ
ube,ADJ
fade,VERB
visitor,NOUN
everywhere,ADV
folks,NOUN
greatest,ADJ
Ronniekins,NOUN
between,ADP
've,VERB
sweat,NOUN
wise,NOUN
wait,VERB
Sixty,NOUN
scarlet,NOUN
age,NOUN
quivered,VERB
piercing,VERB
feverishly,NOUN
live,ADJ
worth,NOUN
minutes,NOUN
grasp,NOUN
sort,VERB
shopping,VERB
dragon,VERB
key,NOUN
protect,VERB
king,NOUN
welcome,ADJ
better,ADJ
parked,VERB
winds,NOUN
hold,VERB
song,NOUN
heavy,ADJ
cheering,VERB
crumbling,VERB
UPF,NOUN
